dataset,method,num_samples,seed,true_metric
tydiqa,LESS (UOT),5000,1,60.82009486319372
tydiqa,LESS (UOT),5000,2,61.47672792442058
tydiqa,LESS (UOT),10000,0,61.81933239956894
tydiqa,LESS (UOT),10000,1,62.17581992521462
tydiqa,LESS (UOT),10000,2,61.71352676399241
tydiqa,LESS (RR),500,0,59.65111647896075
tydiqa,LESS (RR),500,1,59.196630508098956
tydiqa,LESS (RR),500,2,59.4055007954328
tydiqa,LESS (RR),1000,0,61.25986435861099
tydiqa,LESS (RR),1000,1,60.80800611303592
tydiqa,LESS (RR),1000,2,61.38927254988232
tydiqa,LESS (RR),2500,0,60.60181058432662
tydiqa,LESS (RR),2500,1,60.76105547013137
tydiqa,LESS (RR),2500,2,60.202518849632234
tydiqa,LESS (RR),5000,0,61.283483698631734
tydiqa,LESS (RR),5000,1,60.99200706342783
tydiqa,LESS (RR),5000,2,61.36656959568001
tydiqa,LESS (RR),10000,0,60.674140076151645
tydiqa,LESS (RR),10000,1,61.504974001789975
tydiqa,LESS (RR),10000,2,61.639339074979915
tydiqa,LESS (KNN-Unif.),500,0,58.11939836088253
tydiqa,LESS (KNN-Unif.),500,1,58.46795545345165
tydiqa,LESS (KNN-Unif.),500,2,58.35042241438206
tydiqa,LESS (KNN-Unif.),1000,0,60.33861381565056
tydiqa,LESS (KNN-Unif.),1000,1,60.438204201755234
tydiqa,LESS (KNN-Unif.),1000,2,60.09758177015515
tydiqa,LESS (KNN-Unif.),2500,0,60.35346636237542
tydiqa,LESS (KNN-Unif.),2500,1,60.72058617816262
tydiqa,LESS (KNN-Unif.),2500,2,61.281605566686636
tydiqa,LESS (KNN-Unif.),5000,0,60.8529153870955
tydiqa,LESS (KNN-Unif.),5000,1,60.97409159729107
tydiqa,LESS (KNN-Unif.),5000,2,61.43018584306593
tydiqa,LESS (KNN-Unif.),10000,0,61.60244597430522
tydiqa,LESS (KNN-Unif.),10000,1,61.83610862248482
tydiqa,LESS (KNN-Unif.),10000,2,61.5045899827357
tydiqa,LESS (KNN-KDE),500,0,58.60275537754607
tydiqa,LESS (KNN-KDE),500,1,58.63573594183889
tydiqa,LESS (KNN-KDE),500,2,58.74430749858982
tydiqa,LESS (KNN-KDE),1000,0,60.11824572634722
tydiqa,LESS (KNN-KDE),1000,1,60.18826498565222
tydiqa,LESS (KNN-KDE),1000,2,59.96421878123546
tydiqa,LESS (KNN-KDE),2500,0,61.274206027217765
tydiqa,LESS (KNN-KDE),2500,1,60.664212172522554
tydiqa,LESS (KNN-KDE),2500,2,60.662877743037924
tydiqa,LESS (KNN-KDE),5000,0,61.526634132098906
tydiqa,LESS (KNN-KDE),5000,1,60.749872368933715
tydiqa,LESS (KNN-KDE),5000,2,60.603442491072606
tydiqa,LESS (KNN-KDE),10000,0,61.2124830117025
tydiqa,LESS (KNN-KDE),10000,1,61.233121085106795
tydiqa,LESS (KNN-KDE),10000,2,61.53706663671201
mmlu_pro,Random,500,0,21.81682180851064
mmlu_pro,Random,500,1,14.80219414893617
mmlu_pro,Random,500,2,14.336768617021276
mmlu_pro,Random,1000,0,30.585106382978722
mmlu_pro,Random,1000,1,27.086103723404253
mmlu_pro,Random,1000,2,24.601063829787233
mmlu_pro,Random,2500,0,28.640292553191486
mmlu_pro,Random,2500,1,28.5405585106383
mmlu_pro,Random,2500,2,26.080452127659576
mmlu_pro,Random,5000,0,28.92287234042553
mmlu_pro,Random,5000,1,30.285904255319153
mmlu_pro,Random,5000,2,30.693151595744684
mmlu_pro,Random,10000,0,33.5438829787234
mmlu_pro,Random,10000,1,34.17553191489361
mmlu_pro,Random,10000,2,33.294547872340424
mmlu_pro,EMBED (RR),500,0,27.044547872340424
mmlu_pro,EMBED (RR),500,1,30.45212765957447
mmlu_pro,EMBED (RR),500,2,26.52094414893617
mmlu_pro,EMBED (RR),1000,0,27.842420212765955
mmlu_pro,EMBED (RR),1000,1,26.745345744680847
mmlu_pro,EMBED (RR),1000,2,27.618018617021278
mmlu_pro,EMBED (RR),2500,0,28.640292553191486
mmlu_pro,EMBED (RR),2500,1,27.227393617021278
mmlu_pro,EMBED (RR),2500,2,28.607047872340424
mmlu_pro,EMBED (RR),5000,0,27.859042553191486
mmlu_pro,EMBED (RR),5000,1,27.044547872340424
mmlu_pro,EMBED (RR),5000,2,27.293882978723406
mmlu_pro,EMBED (RR),10000,0,31.906582446808514
mmlu_pro,EMBED (RR),10000,1,30.925864361702125
mmlu_pro,EMBED (RR),10000,2,31.93151595744681
mmlu_pro,RDS+ (RR),500,0,3.1831781914893615
mmlu_pro,RDS+ (RR),500,1,15.874335106382977
mmlu_pro,RDS+ (RR),500,2,7.405252659574469
mmlu_pro,RDS+ (RR),1000,0,26.5375664893617
mmlu_pro,RDS+ (RR),1000,1,28.45744680851064
mmlu_pro,RDS+ (RR),1000,2,29.845412234042552
mmlu_pro,RDS+ (RR),2500,0,26.446143617021278
mmlu_pro,RDS+ (RR),2500,1,30.03656914893617
mmlu_pro,RDS+ (RR),2500,2,30.984042553191486
mmlu_pro,RDS+ (RR),5000,0,28.06682180851064
mmlu_pro,RDS+ (RR),5000,1,30.32746010638298
mmlu_pro,RDS+ (RR),5000,2,27.584773936170215
mmlu_pro,RDS+ (RR),10000,0,34.23371010638298
mmlu_pro,RDS+ (RR),10000,1,30.87599734042553
mmlu_pro,RDS+ (RR),10000,2,33.48570478723404
mmlu_pro,LESS (DG),500,0,0.35738031914893614
mmlu_pro,LESS (DG),500,1,1.537566489361702
mmlu_pro,LESS (DG),500,2,1.2300531914893618
mmlu_pro,LESS (DG),1000,0,9.956781914893616
mmlu_pro,LESS (DG),1000,1,19.34840425531915
mmlu_pro,LESS (DG),1000,2,7.820811170212766
mmlu_pro,LESS (DG),2500,0,37.932180851063826
mmlu_pro,LESS (DG),2500,1,34.832114361702125
mmlu_pro,LESS (DG),2500,2,37.624667553191486
